iter	Passed	Remaining
185	716	3136
186	718	3123
187	720	3111
188	722	3100
189	724	3088
190	726	3075
191	728	3064
192	731	3058
193	733	3046
194	735	3035
195	737	3024
196	739	3014
197	741	3003
198	744	2994
199	746	2984
200	747	2973
201	749	2961
202	751	2949
203	753	2938
204	754	2927
205	756	2916
206	759	2909
207	761	2899
208	763	2888
209	764	2877
210	766	2866
211	768	2856
212	770	2846
213	772	2835
214	775	2830
215	777	2820
216	778	2810
217	780	2799
218	782	2789
219	784	2780
220	785	2770
221	788	2763
222	790	2754
223	792	2745
224	794	2735
225	795	2725
226	798	2718
227	800	2709
228	802	2702
229	805	2696
230	807	2687
231	809	2679
232	811	2671
233	813	2662
234	815	2653
235	817	2645
236	820	2641
237	822	2632
238	823	2622
239	825	2614
240	827	2605
241	829	2597
242	831	2588
243	834	2584
244	836	2576
245	837	2567
246	839	2560
247	841	2551
248	843	2543
249	844	2534
250	846	2525
251	849	2521
252	851	2513
253	853	2505
254	854	2497
255	856	2489
256	858	2482
257	860	2474
258	862	2467
259	865	2462
260	867	2455
261	868	2447
262	870	2439
263	872	2432
264	873	2424
265	875	2416
266	878	2412
267	880	2405
268	883	2399
269	884	2392
270	886	2384
271	888	2377
272	889	2369
273	891	2362
274	895	2360
275	897	2353
276	899	2347
277	900	2339
278	902	2332
279	904	2325
280	906	2318
281	909	2314
282	911	2308
283	913	2301
284	914	2295
285	917	2289
286	918	2282
287	920	2275
288	925	2276
289	927	2270
290	929	2264
291	931	2258
292	944	2279
293	951	2284
294	960	2294
295	964	2294
296	968	2291
297	969	2284
298	974	2284
299	978	2284
300	981	2279
301	984	2275
302	989	2275
303	991	2269
304	1006	2293
305	1008	2287
306	1023	2309
307	1029	2313
308	1033	2311
309	1035	2304
310	1042	2310
311	1046	2306
312	1048	2301
313	1062	2320
314	1065	2316
315	1067	2310
316	1069	2303
317	1084	2325
318	1092	2331
319	1094	2326
320	1102	2331
321	1104	2324
322	1107	2321
323	1111	2319
324	1118	2322
325	1120	2316
326	1123	2311
327	1126	2307
328	1131	2306
329	1134	2303
330	1137	2299
331	1139	2293
332	1141	2287
333	1153	2299
334	1156	2296
335	1164	2301
336	1168	2299
337	1172	2295
338	1178	2297
339	1181	2293
340	1197	2314
341	1200	2309
342	1202	2303
343	1207	2302
344	1210	2298
345	1212	2291
346	1214	2284
347	1215	2278
348	1217	2271
349	1222	2271
350	1224	2264
351	1226	2257
352	1228	2251
353	1229	2244
354	1231	2237
355	1233	2231
356	1237	2229
357	1239	2222
358	1241	2215
359	1242	2209
360	1244	2202
361	1246	2196
362	1247	2189
363	1252	2188
364	1254	2182
365	1256	2176
366	1258	2170
367	1260	2164
368	1262	2158
369	1263	2151
370	1267	2149
371	1269	2143
372	1271	2136
373	1272	2130
374	1274	2124
375	1276	2118
376	1277	2111
377	1280	2106
378	1283	2102
379	1284	2096
380	1286	2090
381	1288	2084
382	1289	2078
383	1292	2073
384	1295	2069
385	1298	2065
386	1300	2059
387	1302	2053
388	1303	2047
389	1305	2042
390	1307	2036
391	1309	2030
392	1313	2028
393	1315	2023
394	1317	2017
395	1318	2011
396	1320	2005
397	1322	1999
398	1323	1994
399	1327	1991
400	1329	1985
401	1331	1980
402	1332	1974
403	1334	1969
404	1336	1963
405	1338	1957
406	1342	1955
407	1343	1949
408	1345	1944
409	1347	1938
410	1349	1933
411	1350	1927
412	1352	1922
413	1354	1916
414	1357	1914
415	1359	1909
416	1361	1903
417	1364	1900
418	1366	1895
419	1368	1890
420	1373	1889
421	1375	1884
422	1377	1879
423	1379	1874
424	1381	1869
425	1383	1864
426	1385	1858
427	1388	1856
428	1391	1852
429	1394	1848
430	1396	1843
431	1398	1838
432	1404	1838
433	1407	1835
434	1409	1831
435	1411	1825
436	1413	1820
437	1414	1815
438	1419	1813
439	1421	1808
440	1423	1804
441	1424	1798
442	1426	1793
443	1428	1788
444	1430	1783
445	1434	1782
446	1436	1777
447	1438	1772
448	1439	1766
449	1441	1761
450	1444	1758
451	1446	1753
452	1451	1752
453	1453	1747
454	1455	1743
455	1457	1738
456	1459	1734
457	1461	1729
458	1466	1728
459	1468	1723
460	1470	1718
461	1471	1713
462	1473	1709
463	1475	1704
464	1477	1699
465	1480	1696
466	1482	1692
467	1484	1687
468	1486	1682
469	1487	1677
470	1489	1672
471	1491	1668
472	1496	1666
473	1497	1662
474	1499	1657
475	1501	1652
476	1502	1647
477	1504	1642
478	1506	1638
479	1510	1636
480	1512	1631
481	1514	1627
482	1515	1622
483	1517	1617
484	1519	1613
485	1521	1609
486	1525	1607
487	1527	1602
488	1529	1597
489	1530	1593
490	1532	1588
491	1534	1584
492	1536	1580
493	1541	1578
494	1543	1574
495	1545	1570
496	1547	1566
497	1549	1562
498	1551	1557
499	1556	1556
500	1558	1552
501	1560	1547
502	1562	1543
503	1564	1539
504	1567	1536
505	1571	1534
506	1573	1530
507	1575	1525
508	1577	1521
509	1579	1517
510	1581	1513
511	1583	1508
512	1587	1507
513	1589	1503
514	1591	1498
515	1594	1495
516	1596	1491
517	1597	1486
518	1602	1485
519	1604	1481
520	1606	1476
521	1608	1472
522	1609	1468
523	1611	1463
524	1613	1459
525	1617	1457
526	1619	1453
527	1620	1448
528	1622	1444
529	1624	1440
530	1626	1436
531	1627	1432
532	1632	1430
533	1634	1426
534	1635	1421
535	1637	1417
536	1639	1413
537	1640	1409
538	1642	1404
539	1644	1401
540	1648	1398
541	1650	1394
542	1652	1390
543	1654	1386
544	1656	1382
545	1657	1378
546	1661	1375
547	1663	1372
548	1665	1367
549	1667	1363
550	1668	1359
551	1670	1355
552	1672	1351
553	1674	1347
554	1677	1345
555	1679	1340
556	1681	1337
557	1682	1332
558	1684	1328
559	1686	1324
560	1687	1320
561	1691	1318
562	1693	1314
563	1696	1311
564	1697	1307
565	1699	1303
566	1701	1299
567	1702	1295
568	1706	1292
569	1708	1289
570	1710	1285
571	1712	1281
572	1714	1277
573	1715	1273
574	1717	1269
575	1721	1267
576	1724	1263
577	1725	1260
578	1727	1256
579	1729	1252
580	1730	1248
581	1732	1244
582	1734	1240
583	1738	1238
584	1739	1234
585	1741	1230
586	1744	1227
587	1745	1223
588	1747	1219
589	1749	1215
590	1752	1212
591	1753	1208
592	1755	1205
593	1757	1201
594	1758	1197
595	1760	1193
596	1762	1189
597	1766	1187
598	1768	1183
599	1769	1179
600	1771	1176
601	1773	1172
602	1774	1168
603	1776	1164
604	1784	1164
605	1786	1161
606	1788	1158
607	1790	1154
608	1794	1152
609	1797	1148
610	1798	1145
611	1800	1141
612	1802	1137
613	1804	1134
614	1806	1131
615	1810	1128
616	1812	1125
617	1814	1121
618	1816	1118
619	1818	1114
620	1820	1110
621	1821	1107
622	1825	1104
623	1827	1101
624	1829	1097
625	1831	1094
626	1834	1091
627	1835	1087
628	1837	1083
629	1841	1081
630	1843	1077
631	1844	1074
632	1846	1070
633	1848	1067
634	1850	1063
635	1851	1059
636	1853	1056
637	1857	1053
638	1859	1050
639	1860	1046
640	1863	1043
641	1865	1040
642	1867	1036
643	1871	1034
644	1873	1030
645	1874	1027
646	1876	1023
647	1878	1020
648	1880	1016
649	1881	1013
650	1883	1009
651	1886	1007
652	1888	1003
653	1890	1000
654	1892	996
655	1894	993
656	1896	989
657	1897	986
658	1902	984
659	1903	980
660	1905	977
661	1907	973
662	1908	970
663	1910	966
664	1912	963
665	1916	961
666	1918	957
667	1920	954
668	1922	951
669	1924	947
670	1926	944
671	1927	940
672	1931	938
673	1933	935
674	1935	931
675	1937	928
676	1939	925
677	1941	922
678	1943	918
679	1947	916
680	1948	912
681	1950	909
682	1952	906
683	1954	902
684	1955	899
685	1957	896
686	1959	892
687	1963	890
688	1964	886
689	1966	883
690	1968	880
691	1969	876
692	1971	873
693	1973	869
694	1977	867
695	1978	864
696	1980	860
697	1982	857
698	1983	854
699	1985	850
700	1987	847
701	1989	844
702	1991	841
703	1993	837
704	1994	834
705	1996	831
706	1998	828
707	1999	824
708	2001	821
709	2005	818
710	2006	815
711	2008	812
712	2010	809
713	2011	805
714	2013	802
715	2015	799
716	2019	797
717	2021	793
718	2023	790
719	2025	787
720	2027	784
721	2028	781
722	2030	778
723	2034	775
724	2036	772
725	2038	769
726	2039	765
727	2041	762
728	2043	759
729	2045	756
730	2048	754
731	2050	750
732	2052	747
733	2053	744
734	2055	741
735	2057	737
736	2059	734
737	2061	731
738	2064	729
739	2066	726
740	2068	722
741	2070	719
742	2071	716
743	2073	713
744	2075	710
745	2079	707
746	2081	704
747	2082	701
748	2084	698
749	2086	695
750	2088	692
751	2090	689
752	2094	687
753	2096	683
754	2097	680
755	2099	677
756	2101	674
757	2103	671
758	2105	668
759	2109	666
760	2111	663
761	2113	660
762	2115	656
763	2116	653
764	2118	650
765	2120	647
766	2121	644
767	2125	642
768	2127	639
769	2129	636
770	2132	633
771	2133	630
772	2135	627
773	2138	624
774	2140	621
775	2142	618
776	2144	615
777	2145	612
778	2147	609
779	2149	606
780	2151	603
781	2155	600
782	2157	597
783	2159	595
784	2161	592
785	2163	589
786	2166	586
787	2171	584
788	2173	581
789	2175	578
790	2177	575
791	2179	572
792	2181	569
793	2185	567
794	2187	564
795	2189	561
796	2191	558
797	2192	555
798	2194	552
799	2196	549
800	2200	546
801	2202	543
802	2204	540
803	2205	537
804	2207	534
805	2209	531
806	2210	528
807	2214	526
808	2217	523
809	2219	520
810	2221	517
811	2223	514
812	2225	511
813	2227	508
814	2231	506
815	2233	503
816	2235	500
817	2237	497
818	2239	494
819	2246	493
820	2249	490
821	2252	487
822	2254	484
823	2256	482
824	2261	479
825	2264	477
826	2270	474
827	2272	472
828	2278	469
829	2282	467
830	2287	465
831	2290	462
832	2294	460
833	2296	457
834	2300	454
835	2304	452
836	2307	449
837	2309	446
838	2315	444
839	2317	441
840	2319	438
841	2324	436
842	2331	434
843	2333	431
844	2336	428
845	2338	425
846	2340	422
847	2344	420
848	2346	417
849	2349	414
850	2354	412
851	2361	410
852	2364	407
853	2366	404
854	2379	403
855	2382	400
856	2384	397
857	2393	396
858	2395	393
859	2398	390
860	2400	387
861	2402	384
862	2411	382
863	2414	380
864	2416	377
865	2424	375
866	2429	372
867	2431	369
868	2437	367
869	2441	364
870	2443	361
871	2445	359
872	2450	356
873	2454	353
874	2456	350
875	2459	348
876	2463	345
877	2470	343
878	2472	340
879	2475	337
880	2487	335
881	2492	333
882	2497	330
883	2501	328
884	2510	326
885	2515	323
886	2518	320
887	2520	317
888	2522	315
889	2527	312
890	2530	309
891	2533	306
892	2535	303
893	2537	300
894	2545	298
895	2547	295
896	2549	292
897	2552	289
898	2557	287
899	2562	284
900	2564	281
901	2566	278
902	2568	275
903	2572	273
904	2576	270
905	2579	267
906	2581	264
907	2583	261
908	2591	259
909	2593	256
910	2595	253
911	2597	250
912	2599	247
913	2606	245
914	2608	242
915	2610	239
916	2612	236
917	2616	233
918	2620	230
919	2622	228
920	2624	225
921	2626	222
922	2627	219
923	2632	216
924	2634	213
925	2636	210
926	2638	207
927	2640	204
928	2641	201
929	2643	198
930	2648	196
931	2650	193
932	2652	190
933	2654	187
934	2656	184
935	2657	181
936	2664	179
937	2667	176
938	2669	173
939	2671	170
940	2677	167
941	2681	165
942	2683	162
943	2685	159
944	2687	156
945	2688	153
946	2692	150
947	2694	147
948	2696	144
949	2698	142
950	2700	139
951	2702	136
952	2703	133
953	2708	130
954	2710	127
955	2712	124
956	2714	121
957	2716	119
958	2719	116
959	2724	113
960	2726	110
961	2728	107
962	2730	104
963	2732	102
964	2733	99
965	2739	96
966	2743	93
967	2745	90
968	2746	87
969	2748	85
970	2754	82
971	2758	79
972	2760	76
973	2762	73
974	2765	70
975	2772	68
976	2774	65
977	2776	62
978	2779	59
979	2782	56
980	2787	53
981	2789	51
982	2791	48
983	2793	45
984	2797	42
985	2801	39
986	2803	36
987	2805	34
988	2807	31
989	2809	28
990	2814	25
991	2816	22
992	2817	19
993	2819	17
994	2821	14
995	2822	11
996	2824	8
997	2827	5
998	2828	2
999	2830	0
